record_id,source_id,province_id,province_name,subSgId,subSgName,sgTypecode,sggname,huboid,hbjname,jdname,doc_index,doc_type,official_record_status,external_official_search_status,accepted_source_policy
"420260603-1100-성동구-100165564-2-선거공약서","candidate-doc:100165564:2","1100","서울특별시","420260603","구·시·군의 장선거","4","성동구","100165564","정찬옥","개혁신당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-광진구-100155529-2-선거공약서","candidate-doc:100155529:2","1100","서울특별시","420260603","구·시·군의 장선거","4","광진구","100155529","문종철","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-광진구-100162595-2-선거공약서","candidate-doc:100162595:2","1100","서울특별시","420260603","구·시·군의 장선거","4","광진구","100162595","김경호","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-동대문구-100154237-2-선거공약서","candidate-doc:100154237:2","1100","서울특별시","420260603","구·시·군의 장선거","4","동대문구","100154237","최동민","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-동대문구-100162700-2-선거공약서","candidate-doc:100162700:2","1100","서울특별시","420260603","구·시·군의 장선거","4","동대문구","100162700","이필형","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-중랑구-100163845-2-선거공약서","candidate-doc:100163845:2","1100","서울특별시","420260603","구·시·군의 장선거","4","중랑구","100163845","류경기","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-성북구-100161486-2-선거공약서","candidate-doc:100161486:2","1100","서울특별시","420260603","구·시·군의 장선거","4","성북구","100161486","이승로","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-성북구-100161480-2-선거공약서","candidate-doc:100161480:2","1100","서울특별시","420260603","구·시·군의 장선거","4","성북구","100161480","민병웅","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-성북구-100158480-2-선거공약서","candidate-doc:100158480:2","1100","서울특별시","420260603","구·시·군의 장선거","4","성북구","100158480","홍희진","진보당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-강북구-100165736-2-선거공약서","candidate-doc:100165736:2","1100","서울특별시","420260603","구·시·군의 장선거","4","강북구","100165736","정창수","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-강북구-100156415-2-선거공약서","candidate-doc:100156415:2","1100","서울특별시","420260603","구·시·군의 장선거","4","강북구","100156415","장지호","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-강북구-100157120-2-선거공약서","candidate-doc:100157120:2","1100","서울특별시","420260603","구·시·군의 장선거","4","강북구","100157120","윤정현","노동당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-강북구-100157755-2-선거공약서","candidate-doc:100157755:2","1100","서울특별시","420260603","구·시·군의 장선거","4","강북구","100157755","한덕희","무소속","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-도봉구-100154007-2-선거공약서","candidate-doc:100154007:2","1100","서울특별시","420260603","구·시·군의 장선거","4","도봉구","100154007","김동욱","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-도봉구-100162870-2-선거공약서","candidate-doc:100162870:2","1100","서울특별시","420260603","구·시·군의 장선거","4","도봉구","100162870","오언석","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-노원구-100155624-2-선거공약서","candidate-doc:100155624:2","1100","서울특별시","420260603","구·시·군의 장선거","4","노원구","100155624","서준오","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-노원구-100163127-2-선거공약서","candidate-doc:100163127:2","1100","서울특별시","420260603","구·시·군의 장선거","4","노원구","100163127","김광수","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-은평구-100163092-2-선거공약서","candidate-doc:100163092:2","1100","서울특별시","420260603","구·시·군의 장선거","4","은평구","100163092","김미경","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-은평구-100156220-2-선거공약서","candidate-doc:100156220:2","1100","서울특별시","420260603","구·시·군의 장선거","4","은평구","100156220","남기정","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-서대문구-100154445-2-선거공약서","candidate-doc:100154445:2","1100","서울특별시","420260603","구·시·군의 장선거","4","서대문구","100154445","박운기","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-서대문구-100163662-2-선거공약서","candidate-doc:100163662:2","1100","서울특별시","420260603","구·시·군의 장선거","4","서대문구","100163662","이성헌","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-마포구-100154576-2-선거공약서","candidate-doc:100154576:2","1100","서울특별시","420260603","구·시·군의 장선거","4","마포구","100154576","유동균","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-마포구-100162253-2-선거공약서","candidate-doc:100162253:2","1100","서울특별시","420260603","구·시·군의 장선거","4","마포구","100162253","박강수","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-양천구-100158135-2-선거공약서","candidate-doc:100158135:2","1100","서울특별시","420260603","구·시·군의 장선거","4","양천구","100158135","우형찬","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-강서구-100162985-2-선거공약서","candidate-doc:100162985:2","1100","서울특별시","420260603","구·시·군의 장선거","4","강서구","100162985","진교훈","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-강서구-100157541-2-선거공약서","candidate-doc:100157541:2","1100","서울특별시","420260603","구·시·군의 장선거","4","강서구","100157541","김진선","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-강서구-100154493-2-선거공약서","candidate-doc:100154493:2","1100","서울특별시","420260603","구·시·군의 장선거","4","강서구","100154493","이미선","진보당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-강서구-100154808-2-선거공약서","candidate-doc:100154808:2","1100","서울특별시","420260603","구·시·군의 장선거","4","강서구","100154808","백철","무소속","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-구로구-100163864-2-선거공약서","candidate-doc:100163864:2","1100","서울특별시","420260603","구·시·군의 장선거","4","구로구","100163864","장인홍","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-구로구-100162222-2-선거공약서","candidate-doc:100162222:2","1100","서울특별시","420260603","구·시·군의 장선거","4","구로구","100162222","홍덕희","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-금천구-100160192-2-선거공약서","candidate-doc:100160192:2","1100","서울특별시","420260603","구·시·군의 장선거","4","금천구","100160192","최기찬","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-금천구-100161473-2-선거공약서","candidate-doc:100161473:2","1100","서울특별시","420260603","구·시·군의 장선거","4","금천구","100161473","이희권","국민의힘","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
"420260603-1100-영등포구-100155777-2-선거공약서","candidate-doc:100155777:2","1100","서울특별시","420260603","구·시·군의 장선거","4","영등포구","100155777","조유진","더불어민주당","2","선거공약서","official_structured_record_no_public_file","reviewed_no_recoverable_official_document","official_sources_only"
