record_id,province_name,subSgName,sggname,hbjname,jdname,doc_type,current_download_url,local_pdf,download_status,bytes,error
"620260603-5300-전주시라선거구-100165323-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시라선거구","최영심","무소속","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%9D%BC%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%B5%9C%EC%98%81%EC%8B%AC_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100165323_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시라선거구-100165323-1-선거공보.pdf","downloaded","6738769",""
"620260603-5300-전주시마선거구-100155600-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시마선거구","심성욱","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%A7%88%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%8B%AC%EC%84%B1%EC%9A%B1_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100155600_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시마선거구-100155600-1-선거공보.pdf","downloaded","1606419",""
"620260603-5300-전주시마선거구-100154889-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시마선거구","이은경","조국혁신당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%A7%88%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%9D%B4%EC%9D%80%EA%B2%BD_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100154889_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시마선거구-100154889-1-선거공보.pdf","downloaded","711567",""
"620260603-5300-전주시마선거구-100158283-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시마선거구","한승우","정의당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%A7%88%EC%84%A0%EA%B1%B0%EA%B5%AC_%ED%95%9C%EC%8A%B9%EC%9A%B0_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100158283_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시마선거구-100158283-1-선거공보.pdf","downloaded","16436455",""
"620260603-5300-전주시바선거구-100162056-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시바선거구","전윤미","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%B0%94%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%A0%84%EC%9C%A4%EB%AF%B8_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100162056_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시바선거구-100162056-1-선거공보.pdf","downloaded","4266913",""
"620260603-5300-전주시바선거구-100155828-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시바선거구","김성규","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%B0%94%EC%84%A0%EA%B1%B0%EA%B5%AC_%EA%B9%80%EC%84%B1%EA%B7%9C_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100155828_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시바선거구-100155828-1-선거공보.pdf","downloaded","12040440",""
"620260603-5300-전주시바선거구-100156912-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시바선거구","조훈","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%B0%94%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%A1%B0%ED%9B%88_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100156912_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시바선거구-100156912-1-선거공보.pdf","downloaded","15399697",""
"620260603-5300-전주시바선거구-100161847-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시바선거구","송관수","조국혁신당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%B0%94%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%86%A1%EA%B4%80%EC%88%98_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100161847_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시바선거구-100161847-1-선거공보.pdf","downloaded","2750840",""
"620260603-5300-전주시바선거구-100155388-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시바선거구","김금주","진보당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%B0%94%EC%84%A0%EA%B1%B0%EA%B5%AC_%EA%B9%80%EA%B8%88%EC%A3%BC_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100155388_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시바선거구-100155388-1-선거공보.pdf","downloaded","12110762",""
"620260603-5300-전주시바선거구-100162322-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시바선거구","채영병","무소속","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EB%B0%94%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%B1%84%EC%98%81%EB%B3%91_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100162322_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시바선거구-100162322-1-선거공보.pdf","downloaded","1076452",""
"620260603-5300-전주시사선거구-100155632-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시사선거구","이성국","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EC%82%AC%EC%84%A0%EA%B1%B0%EA%B5%AC_%EC%9D%B4%EC%84%B1%EA%B5%AD_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100155632_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시사선거구-100155632-1-선거공보.pdf","downloaded","5006127",""
"620260603-5300-전주시사선거구-100156217-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시사선거구","박용욱","더불어민주당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EC%82%AC%EC%84%A0%EA%B1%B0%EA%B5%AC_%EB%B0%95%EC%9A%A9%EC%9A%B1_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100156217_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시사선거구-100156217-1-선거공보.pdf","downloaded","947083",""
"620260603-5300-전주시사선거구-100163040-1-선거공보","전북특별자치도","구·시·군의회의원선거","전주시사선거구","홍대규","조국혁신당","선거공보","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%84%EC%A3%BC%EC%8B%9C%EC%82%AC%EC%84%A0%EA%B1%B0%EA%B5%AC_%ED%99%8D%EB%8C%80%EA%B7%9C_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5301/003_100163040_20260525_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\620260603-5300-전주시사선거구-100163040-1-선거공보.pdf","downloaded","875441",""
"820260603-2700-대구광역시-더불어민주당-1-1","대구광역시","광역의원비례대표선거","대구광역시","","더불어민주당","비례대표 정당 제출자료","https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C_%EB%8D%94%EB%B6%88%EC%96%B4%EB%AF%BC%EC%A3%BC%EB%8B%B9_%EB%B9%84%EB%A1%80%EB%8C%80%ED%91%9C%20%EC%A0%95%EB%8B%B9%20%EC%A0%9C%EC%B6%9C%EC%9E%90%EB%A3%8C.pdf&requestedFullPath=20260603/PDF/PBINFO_PUB/2700/003_100_20260522_1.pdf","C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\820260603-2700-대구광역시-더불어민주당-1-1.pdf","downloaded","1070447",""
